letter	frequency
A	.08167
B	.01492
C	.02782
D	.04253
E	.12702
F	.02288
G	.02015
H	.06094
I	.06966
J	.00153
K	.00772
L	.04025
M	.02406
N	.06749
O	.07507
P	.01929
Q	.00095
R	.05987
S	.06327
T	.09056
U	.02758
V	.00978
W	.02360
X	.00150
Y	.01974
Z	.00074


//   const [data, setData] = useState([
//     0.08167,
//     0.01492,
//     0.02782,
//     0.04253,
//     0.12702,
//     0.02288,
//     0.02015,
//     0.06094,
//     0.06966,
//     0.00153,
//     0.00772,
//     0.04025,
//     0.02406,
//     0.06749,
//     0.07507,
//     0.01929,
//     0.00095,
//     0.05987,
//     0.06327,
//     0.09056,
//     0.02758,
//     0.00978,
//     0.0236,
//     0.0015,
//     0.01974,
//     0.00074
//   ])